year,open_data_channel_type,count_SR_by_year,count_SR_by_year/channel,percentage
2010,UNKNOWN,2089568,1159221,0.5547658654803289
2010,PHONE,2089568,824477,0.39456815954302515
2010,OTHER,2089568,64712,0.030969080690362794
2010,ONLINE,2089568,41158,0.019696894286283097
2011,UNKNOWN,2011028,1093240,0.5436224657239979
2011,PHONE,2011028,762385,0.3791021308504904
2011,ONLINE,2011028,96427,0.04794910861509636
2011,OTHER,2011028,58974,0.029325300294177903
2011,MOBILE,2011028,2,9.945162374666092E-7
2012,PHONE,1837049,970540,0.5283147047248059
2012,UNKNOWN,1837049,658090,0.358232142964069
2012,ONLINE,1837049,166379,0.09056862391803376
2012,OTHER,1837049,42040,0.02288452839309131
2013,PHONE,1887471,1258535,0.6667837545583482
2013,UNKNOWN,1887471,317052,0.16797715037740976
2013,ONLINE,1887471,259160,0.1373054208514992
2013,OTHER,1887471,43441,0.023015452952654638
2013,MOBILE,1887471,9283,0.004918221260088234
2014,PHONE,2156725,1306082,0.6055857840012056
2014,ONLINE,2156725,386264,0.179097474179601
2014,UNKNOWN,2156725,360149,0.16698883724165112
2014,MOBILE,2156725,70271,0.032582271731444665
2014,OTHER,2156725,33959,0.01574563284609767
2015,PHONE,2322422,1314670,0.5660771384356503
2015,ONLINE,2322422,463875,0.19973760152117057
2015,UNKNOWN,2322422,367315,0.15816031711721643
2015,MOBILE,2322422,151617,0.06528400092661885
2015,OTHER,2322422,24945,0.010740941999343789
2016,PHONE,2408922,1283903,0.5329782367382588
2016,ONLINE,2408922,512282,0.21266026878412833
2016,UNKNOWN,2408922,337263,0.140005778518358
2016,MOBILE,2408922,246970,0.10252303727559464
2016,OTHER,2408922,28504,0.01183267868366016
2017,PHONE,2508407,1333598,0.5316513627971856
2017,ONLINE,2508407,521442,0.20787774870664927
2017,UNKNOWN,2508407,346906,0.13829733372614572
2017,MOBILE,2508407,277130,0.11048047625445154
2017,OTHER,2508407,29331,0.011693078515567848
2018,PHONE,2760061,1480708,0.5364765488878688
2018,ONLINE,2760061,565393,0.20484800879400855
2018,UNKNOWN,2760061,367205,0.13304234942633514
2018,MOBILE,2760061,314251,0.11385654157643617
2018,OTHER,2760061,32504,0.011776551315351363
2019,PHONE,2633099,1309555,0.49734362437568813
2019,ONLINE,2633099,549347,0.2086313503594054
2019,UNKNOWN,2633099,401574,0.15251002715811293
2019,MOBILE,2633099,364054,0.13826065787879604
2019,OTHER,2633099,8569,0.0032543402279975042
2020,PHONE,2942050,1152892,0.39186689553202697
2020,ONLINE,2942050,904251,0.3073540558454139
2020,MOBILE,2942050,535269,0.18193742458489828
2020,UNKNOWN,2942050,349028,0.1186342856171717
2020,OTHER,2942050,610,2.0733842048911475E-4
2021,ONLINE,3220872,1294503,0.4019107247975083
2021,PHONE,3220872,1124751,0.3492069849407241
2021,MOBILE,3220872,544609,0.16908743967472162
2021,UNKNOWN,3220872,256638,0.0796796643890226
2021,OTHER,3220872,371,1.1518619802339242E-4
2022,ONLINE,2431259,1086464,0.44687299872206127
2022,PHONE,2431259,595095,0.2447682455879855
2022,MOBILE,2431259,524514,0.2157376075523011
2022,UNKNOWN,2431259,225139,0.09260181658967638
2022,OTHER,2431259,47,1.9331547975760706E-5
