complaint_type,borough,incident_zip,count_SR_by_complaint,count_SR_by_complaint/zipcode,percentage_in_complaint
Noise - Residential,BRONX,10466,2886923,224547,7.78 %
Noise - Residential,BRONX,10467,2886923,59960,2.08 %
Noise - Residential,BROOKLYN,11226,2886923,58539,2.03 %
HEAT/HOT WATER,BROOKLYN,11226,1750911,58545,3.34 %
HEAT/HOT WATER,BRONX,10458,1750911,53976,3.08 %
HEAT/HOT WATER,BRONX,10467,1750911,52422,2.99 %
Illegal Parking,QUEENS,11385,1728819,49164,2.84 %
Illegal Parking,BROOKLYN,11385,1728819,49164,2.84 %
Illegal Parking,BROOKLYN,11204,1728819,29969,1.73 %
Illegal Parking,BROOKLYN,11214,1728819,28932,1.67 %
Blocked Driveway,QUEENS,11368,1304735,42828,3.28 %
Blocked Driveway,QUEENS,11385,1304735,31525,2.42 %
Blocked Driveway,BROOKLYN,11385,1304735,31525,2.42 %
Blocked Driveway,BROOKLYN,11236,1304735,27059,2.07 %
Street Condition,STATEN ISLAND,10314,1097396,24224,2.21 %
Street Condition,STATEN ISLAND,10306,1097396,20138,1.84 %
Street Condition,STATEN ISLAND,10312,1097396,19529,1.78 %
